,xcenter,ycenter,width,height,confidence,class,name,frame
0,527.2291259765625,256.9743957519531,234.776123046875,209.96897888183594,0.6502699851989746,2,car,1
1,1083.662109375,387.69195556640625,237.75848388671875,112.65509033203125,0.6327894330024719,4,airplane,1
2,393.4088439941406,350.17413330078125,277.80926513671875,250.17324829101562,0.6138083934783936,2,car,1
0,1083.57080078125,387.33905029296875,237.7333984375,112.28793334960938,0.6434253454208374,4,airplane,2
1,527.3614501953125,256.7392883300781,236.09848022460938,210.952880859375,0.6020614504814148,2,car,2
0,1082.7884521484375,387.44903564453125,236.09747314453125,112.58123779296875,0.6336790919303894,4,airplane,3
1,527.556884765625,256.714599609375,235.29620361328125,210.0292205810547,0.601672351360321,2,car,3
0,1082.65185546875,387.205078125,236.44110107421875,112.47540283203125,0.6554641723632812,4,airplane,4
1,527.3423461914062,256.7921142578125,236.52371215820312,209.8448944091797,0.6126084923744202,2,car,4
0,527.6183471679688,257.2083740234375,236.51583862304688,209.7836151123047,0.6342954635620117,2,car,5
1,1082.582763671875,386.8692626953125,236.13848876953125,111.726806640625,0.6255039572715759,4,airplane,5
0,527.9898071289062,256.74566650390625,236.52182006835938,209.63577270507812,0.6467879414558411,2,car,6
1,1082.8992919921875,387.1340026855469,235.57415771484375,112.117431640625,0.6423420906066895,4,airplane,6
0,1083.029541015625,387.6453857421875,235.5731201171875,112.80264282226562,0.6314331293106079,4,airplane,7
1,527.703125,257.541748046875,236.54095458984375,210.704833984375,0.6189876794815063,2,car,7
0,1083.597412109375,388.3971252441406,237.6046142578125,113.75311279296875,0.6151008009910583,4,airplane,9
1,524.6832885742188,258.0892639160156,237.05136108398438,213.0583038330078,0.6061183214187622,2,car,9
0,524.7144775390625,258.13372802734375,237.40789794921875,212.92689514160156,0.6118746995925903,2,car,10
0,1083.661376953125,388.25054931640625,237.15789794921875,113.56210327148438,0.6060848832130432,4,airplane,11
0,1083.743896484375,388.1876525878906,236.9290771484375,113.51171875,0.6061195135116577,4,airplane,12
1,395.7371826171875,349.6000061035156,282.3284912109375,246.67503356933594,0.600877583026886,2,car,12
0,1083.24853515625,388.2107238769531,237.220703125,113.757080078125,0.622773289680481,4,airplane,13
0,395.8785400390625,350.1592102050781,282.4188232421875,245.8258514404297,0.6490266919136047,2,car,14
1,525.0884399414062,258.4888916015625,238.35940551757812,215.10646057128906,0.6195722222328186,2,car,14
2,1082.882080078125,387.59051513671875,237.3956298828125,112.65902709960938,0.6145460605621338,4,airplane,14
0,394.99859619140625,350.4846496582031,281.471435546875,245.15257263183594,0.6489160656929016,2,car,15
1,524.571533203125,258.6620178222656,237.97454833984375,214.8883514404297,0.6052119135856628,2,car,15
2,1082.6995849609375,387.67388916015625,237.19171142578125,112.48519897460938,0.6027705073356628,4,airplane,15
0,395.4276123046875,350.09307861328125,282.074951171875,245.90708923339844,0.6422511339187622,2,car,16
1,1082.501220703125,387.8539123535156,237.4068603515625,112.592041015625,0.617944598197937,4,airplane,16
2,524.3770751953125,258.5203552246094,238.22036743164062,214.9383087158203,0.6096604466438293,2,car,16
0,394.6092529296875,350.4809265136719,280.6785888671875,244.6018829345703,0.6829965710639954,2,car,17
1,524.6578369140625,258.8043212890625,238.79238891601562,214.92239379882812,0.6197963356971741,2,car,17
2,1082.465087890625,388.122802734375,237.55743408203125,112.80596923828125,0.6166558265686035,4,airplane,17
0,395.07769775390625,350.094970703125,281.169189453125,245.3313751220703,0.6618746519088745,2,car,18
1,1082.1058349609375,388.11358642578125,237.04876708984375,112.90176391601562,0.6137531995773315,4,airplane,18
2,524.939208984375,258.728759765625,239.31063842773438,215.0037078857422,0.6021508574485779,2,car,18
0,394.4651794433594,350.18096923828125,280.17803955078125,245.20010375976562,0.6779715418815613,2,car,19
1,525.0764770507812,258.6377868652344,238.65274047851562,215.03160095214844,0.6226221323013306,2,car,19
2,1082.1658935546875,387.94012451171875,236.96112060546875,112.63534545898438,0.6114869117736816,4,airplane,19
0,395.8656921386719,349.6020202636719,282.86834716796875,246.21148681640625,0.6532308459281921,2,car,20
1,525.0238647460938,259.1260681152344,238.43832397460938,215.5750274658203,0.618871808052063,2,car,20
0,396.12396240234375,349.4369201660156,283.20068359375,246.41294860839844,0.6360479593276978,2,car,21
1,525.181884765625,258.8851623535156,237.71136474609375,215.52476501464844,0.6125196814537048,2,car,21
2,1082.3082275390625,387.90716552734375,237.27191162109375,112.64614868164062,0.6065143346786499,4,airplane,21
0,395.0099792480469,350.34521484375,281.42559814453125,244.8014373779297,0.6652159094810486,2,car,22
1,524.93115234375,258.74554443359375,237.50006103515625,215.8671112060547,0.6256741881370544,2,car,22
2,1081.935546875,388.2506103515625,236.7894287109375,113.30545043945312,0.6001679301261902,4,airplane,22
0,394.3663635253906,350.49896240234375,280.97760009765625,244.55795288085938,0.6807356476783752,2,car,23
1,524.7374877929688,258.42608642578125,235.95858764648438,215.86972045898438,0.6273738741874695,2,car,23
2,1081.723876953125,388.38397216796875,236.6629638671875,113.29055786132812,0.6107964515686035,4,airplane,23
0,394.184326171875,350.6221923828125,280.608642578125,244.220947265625,0.6938511729240417,2,car,24
1,524.9039306640625,258.61785888671875,236.82583618164062,215.8542022705078,0.6389783024787903,2,car,24
2,1081.794189453125,388.44866943359375,236.5599365234375,113.44589233398438,0.6031520366668701,4,airplane,24
0,394.1447448730469,350.5734558105469,280.36077880859375,244.6314239501953,0.6990204453468323,2,car,25
1,524.515869140625,258.49444580078125,236.63491821289062,215.35665893554688,0.6428309679031372,2,car,25
2,1081.241455078125,388.60455322265625,236.7662353515625,113.48684692382812,0.6097106337547302,4,airplane,25
