,xcenter,ycenter,width,height,confidence,class,name,frame
0,529.1436767578125,260.7965393066406,231.73684692382812,202.1443634033203,0.8105788826942444,2,car,1
1,392.0306396484375,357.3994445800781,278.2506103515625,238.39007568359375,0.7981559634208679,2,car,1
2,262.8588562011719,160.83238220214844,57.82733154296875,179.85671997070312,0.6462724208831787,0,person,1
0,391.90130615234375,357.4961242675781,279.7835693359375,239.18780517578125,0.8045819997787476,2,car,2
1,529.558837890625,260.7330322265625,232.42996215820312,199.6689453125,0.7960864305496216,2,car,2
2,262.8468322753906,160.84756469726562,58.83349609375,179.3672332763672,0.6172741055488586,0,person,2
0,529.045654296875,260.72686767578125,232.7337646484375,200.33837890625,0.8051607012748718,2,car,3
1,391.6175537109375,357.8856201171875,279.9890441894531,239.43548583984375,0.7999575138092041,2,car,3
2,262.6715393066406,159.90460205078125,59.55815124511719,181.25970458984375,0.6328253746032715,0,person,3
0,392.09246826171875,358.0327453613281,281.1473388671875,241.94488525390625,0.7944689393043518,2,car,4
1,529.582763671875,260.0859069824219,231.449951171875,198.70147705078125,0.7764018177986145,2,car,4
2,266.2852783203125,162.72544860839844,59.0941162109375,167.05630493164062,0.6469115018844604,0,person,4
0,529.3644409179688,261.04498291015625,231.67080688476562,200.2935791015625,0.8122764825820923,2,car,5
1,391.7285461425781,357.65960693359375,278.75115966796875,241.80377197265625,0.8105593919754028,2,car,5
2,266.0248718261719,163.43380737304688,60.18919372558594,172.8074951171875,0.6466190814971924,0,person,5
0,392.9197082519531,357.6435546875,282.15228271484375,242.4840087890625,0.8028271794319153,2,car,6
1,529.540283203125,259.767578125,231.06494140625,196.1124267578125,0.7534411549568176,2,car,6
2,268.9271240234375,165.01473999023438,57.22868347167969,166.15838623046875,0.6144217848777771,0,person,6
0,392.622802734375,357.77392578125,280.9460144042969,242.2882080078125,0.8042883276939392,2,car,7
1,528.7420043945312,260.548095703125,231.52798461914062,197.369140625,0.7686535716056824,2,car,7
2,271.62213134765625,162.3177947998047,55.82208251953125,170.53573608398438,0.6764737963676453,0,person,7
0,393.0691833496094,357.9284973144531,282.64093017578125,242.78375244140625,0.8050678968429565,2,car,8
1,528.7920532226562,259.8432922363281,232.47122192382812,196.0396728515625,0.7449597716331482,2,car,8
2,273.4132080078125,167.11532592773438,57.2548828125,167.5021514892578,0.6357349157333374,0,person,8
0,393.08795166015625,358.1816101074219,282.60009765625,242.05963134765625,0.8064478635787964,2,car,9
1,528.46630859375,260.1822509765625,232.54061889648438,196.53143310546875,0.7490900158882141,2,car,9
2,274.58258056640625,162.12994384765625,57.77490234375,172.3968505859375,0.7119132876396179,0,person,9
0,392.81793212890625,358.1178894042969,282.4273681640625,242.20703125,0.8008447289466858,2,car,10
1,528.5459594726562,260.0010681152344,232.7401123046875,196.0997772216797,0.7479427456855774,2,car,10
2,276.212158203125,162.13287353515625,60.92283630371094,167.2613525390625,0.6905891299247742,0,person,10
0,392.66259765625,358.1136169433594,282.802001953125,241.573486328125,0.7897979617118835,2,car,11
1,528.1942138671875,260.1020812988281,233.67892456054688,196.28521728515625,0.7308263778686523,2,car,11
2,279.312255859375,158.03012084960938,62.82151794433594,170.27655029296875,0.6665748953819275,0,person,11
0,392.2642822265625,358.2699890136719,282.021728515625,241.7415771484375,0.7884424328804016,2,car,12
1,528.3753051757812,260.3799743652344,233.325439453125,197.3617401123047,0.7451483607292175,2,car,12
2,282.59307861328125,160.45907592773438,52.97430419921875,167.6605224609375,0.7177785038948059,0,person,12
0,392.22113037109375,357.930419921875,281.012939453125,242.60296630859375,0.7918400764465332,2,car,13
1,528.4645385742188,260.7527770996094,233.2626953125,198.2025146484375,0.758738100528717,2,car,13
2,283.7782287597656,161.67767333984375,49.4290771484375,166.9814453125,0.6748309135437012,0,person,13
0,392.7869873046875,358.0795593261719,281.1181335449219,243.65020751953125,0.798264741897583,2,car,14
1,528.238037109375,260.4968566894531,234.027099609375,197.1754150390625,0.7309744358062744,2,car,14
0,392.614013671875,358.2770080566406,281.232177734375,243.804443359375,0.797827959060669,2,car,15
1,528.2947998046875,260.8011779785156,233.49307250976562,197.4656524658203,0.7331514954566956,2,car,15
2,285.18548583984375,167.0376739501953,45.75640869140625,165.77420043945312,0.6156246066093445,0,person,15
0,392.8641662597656,358.2918701171875,281.61163330078125,244.23248291015625,0.7914872765541077,2,car,16
1,528.2219848632812,260.60150146484375,233.6260986328125,197.571044921875,0.7383131980895996,2,car,16
2,285.86669921875,163.91949462890625,45.5103759765625,162.44993591308594,0.6068354845046997,0,person,16
0,392.70562744140625,358.10687255859375,281.4803466796875,244.7265625,0.7857538461685181,2,car,17
1,528.3092651367188,260.64349365234375,233.78720092773438,197.7529296875,0.7532114386558533,2,car,17
2,287.3656005859375,162.34388732910156,45.38275146484375,158.88265991210938,0.6437458992004395,0,person,17
0,392.90216064453125,358.0145263671875,282.1417236328125,245.4066162109375,0.7889665365219116,2,car,18
1,528.5538330078125,260.4933776855469,233.471923828125,198.0538330078125,0.7496306896209717,2,car,18
2,288.0381774902344,163.05001831054688,44.10845947265625,156.9300537109375,0.6464523077011108,0,person,18
0,393.1956787109375,358.367431640625,282.6361083984375,245.15576171875,0.7933703660964966,2,car,19
1,528.5887451171875,260.31072998046875,234.0303955078125,198.3016357421875,0.7432874441146851,2,car,19
2,289.0095520019531,163.02410888671875,43.55499267578125,154.630615234375,0.6267960071563721,0,person,19
0,392.20941162109375,358.7297668457031,281.804443359375,243.73321533203125,0.7906263470649719,2,car,20
1,528.5612182617188,260.9801025390625,234.6220703125,200.18666076660156,0.7537665963172913,2,car,20
0,392.0050048828125,358.89849853515625,281.1545715332031,243.121337890625,0.7866165041923523,2,car,21
1,528.569580078125,260.83660888671875,235.01974487304688,200.59632873535156,0.7542463541030884,2,car,21
0,392.0321960449219,358.5183410644531,281.36016845703125,243.34442138671875,0.7863957285881042,2,car,22
1,528.7003173828125,260.67633056640625,234.8807373046875,201.4595947265625,0.7482119202613831,2,car,22
2,291.3342590332031,161.2818145751953,47.92596435546875,156.15676879882812,0.6941440105438232,0,person,22
0,392.04388427734375,358.7076110839844,281.0943298339844,243.60174560546875,0.7895029187202454,2,car,23
1,528.5928344726562,260.890380859375,234.4874267578125,201.03550720214844,0.7604890465736389,2,car,23
2,291.9239807128906,157.5258331298828,49.009765625,153.65219116210938,0.6879337430000305,0,person,23
0,392.26910400390625,358.39617919921875,281.1195373535156,243.3858642578125,0.7951241731643677,2,car,24
1,528.7763061523438,260.5733642578125,235.13467407226562,200.7696533203125,0.7574858665466309,2,car,24
2,292.52069091796875,157.11898803710938,51.13726806640625,151.5972137451172,0.7461341023445129,0,person,24
0,392.3294677734375,358.60125732421875,281.2582702636719,243.611572265625,0.7970338463783264,2,car,25
1,528.7744750976562,260.55377197265625,235.4400634765625,200.96612548828125,0.7604179978370667,2,car,25
2,292.46612548828125,157.64950561523438,50.76751708984375,149.00537109375,0.7550639510154724,0,person,25
0,392.1556396484375,358.3561706542969,280.192626953125,241.38897705078125,0.8053461909294128,2,car,26
1,527.4696044921875,261.3238830566406,233.6513671875,202.6592559814453,0.7942994832992554,2,car,26
2,293.2377624511719,151.7252960205078,55.2474365234375,161.12710571289062,0.772163987159729,0,person,26
0,392.0498046875,358.2315673828125,280.0045166015625,240.4019775390625,0.8043742179870605,2,car,27
1,527.8624877929688,261.0922546386719,233.24362182617188,202.32977294921875,0.7897148728370667,2,car,27
2,292.8616943359375,151.38189697265625,55.36669921875,162.99072265625,0.784148097038269,0,person,27
0,391.921875,358.5320129394531,279.59130859375,239.15985107421875,0.8068665862083435,2,car,28
1,527.8863525390625,261.29150390625,233.0941162109375,203.09169006347656,0.7958065271377563,2,car,28
2,293.21868896484375,151.51351928710938,56.0618896484375,163.64990234375,0.7699351906776428,0,person,28
0,391.882080078125,358.63018798828125,279.3627624511719,239.5416259765625,0.8011618256568909,2,car,29
1,527.9464721679688,261.7357177734375,233.0902099609375,202.63983154296875,0.788850724697113,2,car,29
2,293.54119873046875,151.8329620361328,56.15435791015625,163.21908569335938,0.7177757024765015,0,person,29
0,392.07989501953125,358.32049560546875,279.37451171875,239.7314453125,0.8080761432647705,2,car,30
1,527.9249267578125,261.7137451171875,233.09078979492188,202.5328369140625,0.8012687563896179,2,car,30
2,293.00054931640625,151.6645050048828,54.149658203125,161.86416625976562,0.7058479189872742,0,person,30
0,391.95953369140625,357.8889465332031,279.017822265625,239.00982666015625,0.8062177896499634,2,car,31
1,528.4149169921875,261.3094482421875,233.896728515625,201.1317138671875,0.7878573536872864,2,car,31
2,293.3387145996094,152.60401916503906,52.7364501953125,158.46627807617188,0.6832637190818787,0,person,31
0,391.990966796875,357.7684631347656,279.1374816894531,239.434326171875,0.8109174370765686,2,car,32
1,528.4259033203125,261.3173522949219,233.8056640625,201.50018310546875,0.7992054224014282,2,car,32
0,391.89691162109375,358.2778015136719,279.5885009765625,238.98016357421875,0.8089845180511475,2,car,33
1,528.3547973632812,261.37847900390625,233.42138671875,202.2896728515625,0.8023490905761719,2,car,33
0,392.00042724609375,357.68505859375,279.3619689941406,239.34228515625,0.7990738153457642,2,car,34
1,528.0926513671875,261.3832092285156,234.49557495117188,202.5169219970703,0.7960110306739807,2,car,34
0,528.2891845703125,261.3778076171875,234.29342651367188,202.76434326171875,0.8080824613571167,2,car,35
1,391.9333190917969,357.0897521972656,279.47735595703125,240.02471923828125,0.801293671131134,2,car,35
0,392.0863037109375,357.4261474609375,279.7724609375,239.9881591796875,0.8041216135025024,2,car,36
1,528.2427368164062,261.37213134765625,234.69094848632812,202.73004150390625,0.800787627696991,2,car,36
