,Read times - Voltage  graph,Voltage(V) - Voltage  graph,Read times - Current graph,Current(A) - Current graph,Power (W),Time (s)
0,0,5.226,0,0.3025,1.580865,0.0
1,1,5.226,1,0.3025,1.580865,0.5449729821825987
2,2,5.226,2,0.6567,3.4319141999999996,1.0899459643651974
3,3,5.191,3,0.6567,3.4089297,1.634918946547796
4,4,5.191,4,0.5714,2.9661374,2.179891928730395
5,5,5.19,5,0.5714,2.9655660000000004,2.7248649109129937
6,6,5.19,6,0.5347,2.775093,3.269837893095592
7,7,5.194,7,0.5347,2.7772317999999996,3.814810875278191
8,8,5.194,8,0.5334,2.7704796,4.35978385746079
9,9,5.195,9,0.5334,2.771013,4.9047568396433885
10,10,5.195,10,0.5316,2.761662,5.449729821825987
11,11,5.195,11,0.5316,2.761662,5.994702804008586
12,12,5.195,12,0.5668,2.944526,6.539675786191184
13,13,5.188,13,0.5668,2.9405583999999996,7.084648768373783
14,14,5.188,14,0.5781,2.9991827999999994,7.629621750556382
15,15,5.193,15,0.5781,3.0020732999999997,8.174594732738981
16,16,5.193,16,0.4288,2.2267584,8.71956771492158
17,17,5.211,17,0.4288,2.2344768000000004,9.264540697104177
18,18,5.211,18,0.4289,2.2349979,9.809513679286777
19,19,5.191,19,0.4289,2.2264199,10.354486661469375
20,20,5.191,20,0.5783,3.0019553,10.899459643651975
21,21,5.188,21,0.5783,3.0002204,11.444432625834573
22,22,5.188,22,0.5786,3.0017768,11.989405608017172
23,23,5.192,23,0.5786,3.0040912,12.53437859019977
24,24,5.192,24,0.5398,2.8026416,13.079351572382368
25,25,5.194,25,0.5398,2.8037211999999996,13.624324554564968
26,26,5.194,26,0.5443,2.8270942,14.169297536747566
27,27,5.194,27,0.5443,2.8270942,14.714270518930165
28,28,5.194,28,0.5509,2.8613745999999995,15.259243501112763
29,29,5.193,29,0.5509,2.8608236999999996,15.804216483295363
30,30,5.193,30,0.5461,2.8358973,16.349189465477963
31,31,5.202,31,0.5461,2.8408122000000002,16.89416244766056
32,32,5.202,32,1.0781,5.608276200000001,17.43913542984316
33,33,5.201,33,1.0781,5.6071981,17.98410841202576
34,34,5.201,34,1.1039,5.7413839,18.529081394208355
35,35,5.204,35,1.1039,5.7446956,19.074054376390954
36,36,5.204,36,1.0652,5.543300799999999,19.619027358573554
37,37,5.203,37,1.0652,5.5422356,20.164000340756154
38,38,5.203,38,1.0779,5.608313700000001,20.70897332293875
39,39,5.204,39,1.0779,5.6093916,21.25394630512135
40,40,5.204,40,1.042,5.422568,21.79891928730395
41,41,5.206,41,1.042,5.424652000000001,22.343892269486545
42,42,5.206,42,1.0514,5.4735884,22.888865251669145
43,43,5.205,43,1.0514,5.472536999999999,23.433838233851745
44,44,5.205,44,1.0518,5.474619000000001,23.978811216034345
45,45,5.21,45,1.0518,5.479878,24.52378419821694
46,46,5.21,46,1.0465,5.452265,25.06875718039954
47,47,5.203,47,1.0465,5.4449395,25.61373016258214
48,48,5.203,48,1.0623,5.527146900000001,26.158703144764736
49,49,5.204,49,1.0623,5.5282092,26.703676126947336
50,50,5.204,50,1.0721,5.5792084,27.248649109129936
51,51,5.203,51,1.0721,5.578136300000001,27.793622091312535
52,52,5.203,52,1.0691,5.5625273,28.33859507349513
53,53,5.196,53,1.0691,5.555043599999999,28.88356805567773
54,54,5.196,54,0.9967,5.1788532,29.42854103786033
55,55,5.197,55,0.9967,5.1798499,29.97351402004293
56,56,5.197,56,1.0635,5.527009499999999,30.518487002225527
57,57,5.208,57,1.0635,5.538708,31.063459984408127
58,58,5.208,58,1.0371,5.401216799999999,31.608432966590726
59,59,5.201,59,1.0371,5.393957099999999,32.153405948773326
60,60,5.201,60,1.0488,5.4548087999999995,32.698378930955926
61,61,5.195,61,1.0488,5.448516,33.24335191313852
62,62,5.195,62,1.0426,5.416307,33.78832489532112
63,63,5.205,63,1.0426,5.426733,34.33329787750372
64,64,5.205,64,1.0334,5.378847,34.87827085968632
65,65,5.201,65,1.0334,5.3747134,35.42324384186892
66,66,5.201,66,1.0397,5.4074797,35.96821682405152
67,67,5.205,67,1.0397,5.4116385000000005,36.51318980623412
68,68,5.205,68,1.0276,5.348658,37.05816278841671
69,69,5.204,69,1.0276,5.3476304,37.60313577059931
70,70,5.204,70,1.0688,5.5620351999999995,38.14810875278191
71,71,5.206,71,1.0688,5.564172800000001,38.69308173496451
72,72,5.206,72,1.0658,5.548554800000001,39.23805471714711
73,73,5.195,73,1.0658,5.536831,39.78302769932971
74,74,5.195,74,1.0797,5.609041500000001,40.32800068151231
75,75,5.202,75,1.0797,5.6165994,40.8729736636949
76,76,5.202,76,1.0768,5.6015136,41.4179466458775
77,77,5.196,77,1.0768,5.5950527999999995,41.9629196280601
78,78,5.196,78,1.0311,5.357595599999999,42.5078926102427
79,79,5.202,79,1.0311,5.363782199999999,43.0528655924253
80,80,5.202,80,1.0531,5.4782262,43.5978385746079
81,81,5.211,81,1.0531,5.4877041,44.1428115567905
82,82,5.211,82,1.0621,5.534603100000001,44.68778453897309
83,83,5.21,83,1.0621,5.5335410000000005,45.23275752115569
84,84,5.21,84,1.067,5.559069999999999,45.77773050333829
85,85,5.202,85,1.067,5.550534,46.32270348552089
86,86,5.202,86,1.0578,5.502675600000001,46.86767646770349
87,87,5.197,87,1.0578,5.4973866000000005,47.41264944988609
