Frame,Pixel Sum
1.0,117043200.0
2.0,1928876.0
3.0,1807845.0
4.0,1918716.0
5.0,878191.0
6.0,4462709.0
7.0,2925657.0
8.0,1660875.0
9.0,2331320.0
10.0,2440308.0
11.0,4021218.0
12.0,2816813.0
13.0,3689460.0
14.0,4880866.0
15.0,3583230.0
16.0,6235971.0
17.0,6289387.0
18.0,7369394.0
19.0,6447045.0
20.0,5917168.0
21.0,6466822.0
22.0,6284644.0
23.0,5287907.0
24.0,7377942.0
25.0,6707436.0
26.0,7741907.0
27.0,7380042.0
28.0,8106663.0
29.0,10389268.0
30.0,13159016.0
31.0,14229012.0
32.0,14280731.0
33.0,14635295.0
34.0,14848508.0
35.0,14359184.0
36.0,13996670.0
37.0,14349367.0
38.0,13514637.0
39.0,12702635.0
40.0,13464410.0
41.0,11319893.0
42.0,9916915.0
43.0,8672083.0
44.0,7428255.0
45.0,6489313.0
46.0,5556001.0
47.0,5371609.0
48.0,4635085.0
49.0,4300804.0
50.0,3988500.0
51.0,3988395.0
52.0,3735271.0
53.0,3678553.0
54.0,3140919.0
55.0,3876062.0
56.0,3232591.0
57.0,3354155.0
58.0,3121226.0
59.0,3092700.0
60.0,3030733.0
61.0,3558010.0
62.0,3452747.0
63.0,3588034.0
64.0,3502556.0
65.0,3855424.0
66.0,4215461.0
67.0,3789354.0
68.0,3504542.0
69.0,3926331.0
70.0,4017392.0
71.0,4246538.0
72.0,4388787.0
73.0,4359776.0
74.0,4805524.0
75.0,4890918.0
76.0,4440369.0
77.0,4648481.0
78.0,5279545.0
79.0,5502863.0
80.0,5338040.0
81.0,5486656.0
82.0,5799956.0
83.0,7425106.0
84.0,7662554.0
85.0,9822328.0
86.0,11036754.0
87.0,9689255.0
88.0,10770478.0
89.0,11831490.0
90.0,11292528.0
91.0,12078680.0
92.0,12716712.0
93.0,13295796.0
94.0,13169562.0
95.0,12937579.0
96.0,12043623.0
97.0,12232977.0
98.0,11423728.0
99.0,9004773.0
100.0,9258470.0
101.0,8478629.0
102.0,7845951.0
103.0,8299985.0
104.0,7891848.0
105.0,7332642.0
106.0,7200178.0
107.0,7648350.0
108.0,8186755.0
109.0,8002749.0
110.0,8044475.0
111.0,7076663.0
112.0,7150330.0
113.0,6859424.0
114.0,7718501.0
115.0,8484648.0
116.0,8909849.0
117.0,9558285.0
118.0,10724803.0
119.0,11199553.0
120.0,11530951.0
121.0,11859620.0
122.0,11863821.0
123.0,12071264.0
124.0,11510226.0
125.0,10835276.0
126.0,10716164.0
127.0,10106421.0
128.0,9527234.0
129.0,8832873.0
130.0,8872165.0
131.0,8481986.0
132.0,8364327.0
133.0,7772048.0
134.0,6989406.0
135.0,6657078.0
136.0,6545743.0
137.0,6199658.0
138.0,6006859.0
139.0,6490743.0
140.0,6572469.0
141.0,6738612.0
142.0,6618529.0
143.0,5879360.0
144.0,6288794.0
145.0,5903291.0
146.0,6406578.0
147.0,6937819.0
148.0,7922936.0
149.0,8727391.0
150.0,9849581.0
151.0,11508451.0
152.0,13037302.0
153.0,16192502.0
154.0,16866230.0
155.0,17716681.0
156.0,18553153.0
157.0,19135275.0
158.0,21344687.0
159.0,21499988.0
160.0,21477505.0
161.0,21238089.0
162.0,20377134.0
163.0,19599983.0
164.0,18049315.0
165.0,17161040.0
166.0,16989875.0
167.0,16782379.0
168.0,16236436.0
169.0,18289473.0
170.0,16437293.0
171.0,16064095.0
172.0,16179518.0
173.0,14174746.0
174.0,14203791.0
175.0,13798539.0
176.0,13246266.0
177.0,12809086.0
178.0,12560468.0
179.0,12667150.0
180.0,13238683.0
181.0,13748758.0
182.0,14713633.0
183.0,17198193.0
184.0,18188286.0
185.0,19528168.0
186.0,20744730.0
187.0,22106935.0
188.0,23506415.0
189.0,24481704.0
190.0,36849052.0
191.0,37012973.0
192.0,36847881.0
193.0,37434820.0
194.0,37879152.0
195.0,37248198.0
196.0,36554020.0
197.0,36928384.0
198.0,35777821.0
199.0,34282297.0
200.0,33720898.0
201.0,33307456.0
202.0,31613697.0
203.0,29318221.0
204.0,28759729.0
205.0,28166627.0
206.0,27445554.0
207.0,26628822.0
208.0,25421946.0
209.0,24652158.0
210.0,23791651.0
211.0,21927662.0
212.0,21518286.0
213.0,20712903.0
214.0,13426256.0
215.0,10716013.0
216.0,10418320.0
217.0,10180237.0
218.0,10756735.0
219.0,10578718.0
220.0,10866181.0
221.0,12131102.0
222.0,12500281.0
223.0,12226491.0
224.0,12907282.0
225.0,12618689.0
226.0,13083944.0
227.0,14549134.0
228.0,14629143.0
229.0,16026230.0
230.0,15309750.0
231.0,15742993.0
232.0,16054747.0
233.0,14072275.0
234.0,14423244.0
235.0,15812151.0
236.0,13946410.0
237.0,12186373.0
238.0,11292798.0
239.0,10950644.0
240.0,10408762.0
241.0,10167606.0
242.0,10294379.0
243.0,9747298.0
244.0,9660412.0
245.0,8962446.0
246.0,8827869.0
247.0,8436552.0
248.0,8251662.0
249.0,8221208.0
250.0,8279706.0
251.0,8801398.0
252.0,10231840.0
253.0,10591689.0
254.0,10654294.0
255.0,11265398.0
256.0,12391444.0
257.0,15345922.0
258.0,17284684.0
259.0,16875673.0
260.0,20160924.0
261.0,18172541.0
