,Video,Width,Height,Framerate,mAP
0,largefast,1280,720,25,-1.0
1,largefast,960,540,25,-1.0
2,largefast,640,360,25,-1.0
3,largeslow,1280,720,25,1.0
4,largeslow,960,540,25,0.1234661191701889
5,largeslow,640,360,25,0.09507672488689423
6,smallfast,1280,720,25,1.0
7,smallfast,960,540,25,0.20438160002231598
8,smallfast,640,360,25,0.11554436385631561
9,smallslow,1280,720,25,1.0
10,smallslow,960,540,25,0.1007021814584732
11,smallslow,640,360,25,0.02061021700501442
12,largefast,1280,720,1,-1.0
13,largefast,1280,720,3,-1.0
14,largefast,1280,720,5,-1.0
15,largeslow,1280,720,1,0.21836397051811218
16,largeslow,1280,720,3,0.40532243251800537
17,largeslow,1280,720,5,0.4940100908279419
18,smallfast,1280,720,1,0.09503336995840073
19,smallfast,1280,720,3,0.18549181520938873
20,smallfast,1280,720,5,0.23219263553619385
21,smallslow,1280,720,1,0.15563879907131195
22,smallslow,1280,720,3,0.29226937890052795
23,smallslow,1280,720,5,0.45438939332962036
