,xcenter,ycenter,width,height,confidence,class,name,frame
0,261.00006103515625,170.20989990234375,59.8740234375,156.52931213378906,0.7634763121604919,0,person,1
0,263.2519226074219,168.87840270996094,60.38592529296875,163.39682006835938,0.7406388521194458,0,person,2
0,263.6589050292969,169.683837890625,59.2757568359375,161.436767578125,0.7403517961502075,0,person,3
0,266.853515625,171.8542022705078,57.86256408691406,152.44259643554688,0.6301448941230774,0,person,4
0,267.7359313964844,171.49368286132812,57.09419250488281,154.4088134765625,0.6540818810462952,0,person,5
0,269.7758483886719,172.92979431152344,61.70854187011719,152.30374145507812,0.720278263092041,0,person,6
0,271.87322998046875,162.66961669921875,59.54951477050781,173.4769287109375,0.751634418964386,0,person,7
0,272.12725830078125,166.496337890625,62.85107421875,169.89283752441406,0.7250774502754211,0,person,8
1,705.7473754882812,385.8243103027344,129.34326171875,115.80950927734375,0.6064797639846802,4,airplane,8
0,275.957275390625,169.92112731933594,59.69671630859375,158.85324096679688,0.7309662699699402,0,person,9
1,705.7372436523438,386.1686096191406,129.3524169921875,115.68267822265625,0.6216387748718262,4,airplane,9
0,280.1383972167969,165.64883422851562,65.06321716308594,160.10577392578125,0.7540395855903625,0,person,10
1,705.7139892578125,386.233642578125,129.6292724609375,115.781982421875,0.6286943554878235,4,airplane,10
0,281.7115173339844,167.53158569335938,61.32322692871094,153.605224609375,0.7934434413909912,0,person,11
1,705.169921875,386.0165710449219,130.2901611328125,115.45477294921875,0.6002606749534607,4,airplane,11
0,286.6641845703125,167.63043212890625,58.760009765625,153.78024291992188,0.7854607105255127,0,person,12
1,705.4862670898438,386.3419494628906,130.6304931640625,115.64337158203125,0.6444267630577087,4,airplane,12
0,285.8299560546875,168.17144775390625,52.5079345703125,153.30740356445312,0.7429347634315491,0,person,13
1,705.49365234375,386.2978210449219,130.6536865234375,115.5057373046875,0.6504850387573242,4,airplane,13
0,284.67138671875,166.52145385742188,43.7506103515625,150.504638671875,0.7829740643501282,0,person,14
1,705.3213500976562,386.236083984375,130.1649169921875,115.4853515625,0.6304420232772827,4,airplane,14
0,285.39959716796875,165.8108673095703,44.0477294921875,154.35647583007812,0.7963985204696655,0,person,15
1,705.2429809570312,386.215087890625,130.1339111328125,115.390380859375,0.624296247959137,4,airplane,15
0,286.2442321777344,165.73800659179688,43.8126220703125,154.21786499023438,0.7855656147003174,0,person,16
1,705.1892700195312,386.0279846191406,129.926025390625,115.82733154296875,0.6371932625770569,4,airplane,16
0,287.5281982421875,165.4408416748047,44.71099853515625,154.86563110351562,0.7762917280197144,0,person,17
1,705.0623779296875,385.9962158203125,130.029541015625,115.65185546875,0.6184419393539429,4,airplane,17
0,288.2904052734375,164.1726837158203,46.052978515625,157.09457397460938,0.8103533983230591,0,person,18
1,704.9735717773438,385.94287109375,129.98828125,115.836669921875,0.6230653524398804,4,airplane,18
0,288.1560363769531,163.94708251953125,45.20269775390625,156.5579833984375,0.7898325324058533,0,person,19
1,705.1765747070312,385.8077697753906,129.8267822265625,115.87847900390625,0.6288726925849915,4,airplane,19
0,288.2867431640625,163.1734619140625,46.2679443359375,162.06494140625,0.7745991349220276,0,person,20
0,289.22015380859375,162.98715209960938,47.5601806640625,160.04345703125,0.7965976595878601,0,person,21
1,705.1190185546875,385.98858642578125,129.7725830078125,115.7939453125,0.6027043461799622,4,airplane,21
0,289.8255920410156,160.53636169433594,49.65899658203125,161.78909301757812,0.7981423139572144,0,person,22
1,705.051513671875,386.1297302246094,129.847900390625,116.03656005859375,0.6001611351966858,4,airplane,22
0,290.6773986816406,160.7808074951172,48.754150390625,148.86276245117188,0.8261830806732178,0,person,23
0,292.0891418457031,158.1125030517578,51.66522216796875,149.24163818359375,0.8371618986129761,0,person,24
1,705.1529541015625,386.2913513183594,129.73291015625,116.12359619140625,0.6036677956581116,4,airplane,24
0,293.54388427734375,158.8887176513672,53.49560546875,146.77493286132812,0.8414117693901062,0,person,25
0,293.36248779296875,158.83309936523438,54.5865478515625,151.9501953125,0.8777202367782593,0,person,26
1,705.8333129882812,386.6896057128906,131.260498046875,116.194091796875,0.6414958238601685,4,airplane,26
0,293.5839538574219,159.02780151367188,53.1868896484375,152.19937133789062,0.8759540915489197,0,person,27
1,705.9946899414062,386.816650390625,131.576416015625,116.10540771484375,0.6061017513275146,4,airplane,27
0,294.3446960449219,158.16307067871094,53.4356689453125,151.24221801757812,0.8756747245788574,0,person,28
1,705.6681518554688,386.8612976074219,130.7667236328125,115.60491943359375,0.6411939263343811,4,airplane,28
0,294.5240783691406,158.51736450195312,53.10992431640625,151.68365478515625,0.8694612383842468,0,person,29
0,294.53277587890625,158.38870239257812,53.13037109375,150.32797241210938,0.8409433364868164,0,person,30
1,705.5436401367188,386.5939025878906,130.951171875,115.34234619140625,0.6043115854263306,4,airplane,30
0,293.9180603027344,157.94248962402344,51.0921630859375,149.45901489257812,0.8387627005577087,0,person,31
0,294.4172058105469,156.76620483398438,50.32177734375,147.99609375,0.8317621350288391,0,person,32
1,705.44970703125,386.5766906738281,131.4847412109375,115.18023681640625,0.6044933199882507,4,airplane,32
0,294.97705078125,155.68545532226562,50.232421875,146.23089599609375,0.8338476419448853,0,person,33
1,705.413330078125,386.55047607421875,131.2432861328125,115.10162353515625,0.6245726346969604,4,airplane,33
0,295.550537109375,154.93753051757812,50.7764892578125,147.89349365234375,0.7931993007659912,0,person,34
1,705.3760375976562,386.63153076171875,131.344482421875,115.0242919921875,0.6082074046134949,4,airplane,34
0,296.2408752441406,154.7036895751953,50.8028564453125,148.04275512695312,0.7608934640884399,0,person,35
1,705.3781127929688,386.5614929199219,131.1832275390625,114.9908447265625,0.6234145164489746,4,airplane,35
0,296.5025939941406,153.79421997070312,49.00885009765625,146.97213745117188,0.7826178073883057,0,person,36
1,705.3671264648438,386.6265869140625,131.1683349609375,115.08856201171875,0.6183791756629944,4,airplane,36
0,297.13543701171875,151.51400756835938,50.68182373046875,146.506591796875,0.779959499835968,0,person,37
0,297.6007385253906,150.34725952148438,52.0870361328125,146.39407348632812,0.7904032468795776,0,person,38
0,297.0896911621094,150.4370880126953,53.05059814453125,147.30105590820312,0.7682080864906311,0,person,39
0,297.4460754394531,150.7123260498047,55.3206787109375,147.25247192382812,0.7538096308708191,0,person,40
0,296.9855651855469,149.82286071777344,57.80126953125,149.37991333007812,0.7580949664115906,0,person,41
