,xcenter,ycenter,width,height,confidence,class,name,frame
0,157.52590942382812,461.47442626953125,45.24671936035156,118.80038452148438,0.8713488578796387,0,person,1
1,883.177001953125,469.0096130371094,22.4027099609375,67.47119140625,0.841645359992981,0,person,1
2,1248.5966796875,509.66510009765625,62.776123046875,49.237579345703125,0.7953861355781555,2,car,1
3,480.3644104003906,481.78155517578125,90.84307861328125,60.264251708984375,0.7450283169746399,1,bicycle,1
4,326.4562072753906,481.74359130859375,81.86328125,65.60598754882812,0.7448219060897827,1,bicycle,1
5,920.48974609375,448.9920349121094,57.9246826171875,29.115966796875,0.7206665873527527,2,car,1
6,992.052001953125,441.103271484375,37.5645751953125,20.48333740234375,0.7161422967910767,2,car,1
7,810.3218994140625,448.76666259765625,76.38592529296875,44.694183349609375,0.7139375805854797,2,car,1
8,272.8479309082031,470.0228576660156,53.06330871582031,139.13140869140625,0.6670743823051453,0,person,1
9,17.052194595336914,234.18341064453125,34.10438919067383,113.34660339355469,0.6417042016983032,9,traffic light,1
10,671.6114501953125,499.160888671875,61.5799560546875,127.573974609375,0.6051768660545349,0,person,1
0,155.58056640625,460.84869384765625,48.244232177734375,119.03280639648438,0.8638283610343933,0,person,2
1,1248.6522216796875,509.052734375,62.695556640625,50.448394775390625,0.798587441444397,2,car,2
2,883.6134033203125,468.81988525390625,23.13739013671875,67.21664428710938,0.7819822430610657,0,person,2
3,482.3026428222656,482.8095703125,90.84649658203125,57.938232421875,0.7535001635551453,1,bicycle,2
4,325.5796203613281,449.5848083496094,54.3267822265625,105.232177734375,0.7407329678535461,0,person,2
5,810.5654296875,448.75506591796875,79.6728515625,46.111419677734375,0.7313306927680969,2,car,2
6,991.9005126953125,441.09130859375,36.98858642578125,19.501953125,0.7207238078117371,2,car,2
7,919.500732421875,449.40728759765625,55.2081298828125,28.376129150390625,0.6835687756538391,2,car,2
8,329.4453125,482.4384460449219,87.42672729492188,65.43231201171875,0.6737260818481445,1,bicycle,2
9,668.576416015625,497.75030517578125,55.5899658203125,129.65664672851562,0.6322689652442932,0,person,2
10,957.3208618164062,447.88409423828125,28.68798828125,19.418365478515625,0.6088873147964478,2,car,2
0,153.75059509277344,461.91107177734375,48.115997314453125,115.11459350585938,0.817425549030304,0,person,3
